date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:24	160177/160177	---M--	200	added ('OK')	application/pdf	etag:%22271b1-5ba9cd0205e40%22	https://bcc.ca.gov/clear/lic_auth_release_form.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/lic_auth_release_form.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:24	159867/159867	---M--	200	added ('OK')	application/pdf	etag:%222707b-5ba9ccd71b900%22	https://bcc.ca.gov/clear/financial_inst_request_form.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/financial_inst_request_form.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:25	173353/173353	---M--	200	added ('OK')	application/pdf	etag:%222a529-5aecf30b22d80%22	https://bcc.ca.gov/clear/retailer_instructions.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/retailer_instructions.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:25	262971/262971	---M--	200	added ('OK')	application/pdf	etag:%224033b-5aecf30a2eb40%22	https://bcc.ca.gov/clear/retailer_application.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/retailer_application.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:25	144963/144963	---M--	200	added ('OK')	application/pdf	etag:%2223643-5b728dd2f6940%22	https://bcc.ca.gov/clear/owner_submittal_instructions.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/owner_submittal_instructions.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:25	149981/149981	---M--	200	added ('OK')	application/pdf	etag:%22249dd-5b729d6275f80%22	https://bcc.ca.gov/clear/owner_submittal.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/owner_submittal.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:25	111581/111581	---M--	200	added ('OK')	application/pdf	etag:%221b3dd-5aecf2f43f780%22	https://bcc.ca.gov/clear/financial_information_form.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/financial_information_form.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:26	105733/105733	---M--	200	added ('OK')	application/pdf	etag:%2219d05-5aecf2ffb1280%22	https://bcc.ca.gov/clear/premises_diagram.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/premises_diagram.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:26	94822/94822	---M--	200	added ('OK')	application/pdf	etag:%2217266-5aecf2e038840%22	https://bcc.ca.gov/clear/bcc_lic_015.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/bcc_lic_015.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:26	98304/98304	---M--	200	added ('OK')	application/pdf	etag:%2218000-5aecf2e12ca80%22	https://bcc.ca.gov/clear/bcc_lic_016.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/bcc_lic_016.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:26	99428/99428	---M--	200	added ('OK')	application/pdf	etag:%2218464-5aecf2e220cc0%22	https://bcc.ca.gov/clear/bcc_lic_017.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/bcc_lic_017.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:26	90597/90597	---M--	200	added ('OK')	application/pdf	etag:%22161e5-5aecf2e409140%22	https://bcc.ca.gov/clear/bcc_lic_018.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/bcc_lic_018.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:27	83848/83848	---M--	200	added ('OK')	application/pdf	etag:%2214788-5aecf2e4fd380%22	https://bcc.ca.gov/clear/bcc_lic_020.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/bcc_lic_020.pdf	(from https://bcc.ca.gov/clear/forms.html)
11:54:27	375009/375009	---M--	200	added ('OK')	application/pdf	etag:%225b8e1-5aecf2f627c00%22	https://bcc.ca.gov/clear/licensee_bond.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/licensee_bond.pdf	(from https://bcc.ca.gov/clear/forms.html)
